estacion,fecha,ndvi,sensor
Caño Palos,2017-03,0.4339,Landsat 8
CP Pajarales,2017-03,0.5404,Landsat 8
Caño Clarín,2017-03,0.4133,Landsat 8
VIPIS,2017-03,0.0501,Landsat 8
Isla Boquerón,2017-04,0.2233,Landsat 8
Punta Cerro,2017-04,0.2446,Landsat 8
Punta Chino,2017-04,0.2449,Landsat 8
Río Sevilla,2017-04,0.301,Landsat 8
Caño Palos,2017-04,0.4374,Landsat 8
CP Pajarales,2017-04,0.531,Landsat 8
Caño Clarín,2017-04,0.3952,Landsat 8
VIPIS,2017-04,-0.0682,Landsat 8
Isla Boquerón,2017-07,0.3845,Landsat 8
Punta Cerro,2017-07,0.2469,Landsat 8
Punta Chino,2017-07,0.2446,Landsat 8
Río Sevilla,2017-07,0.3373,Landsat 8
Caño Palos,2017-07,0.4024,Landsat 8
CP Pajarales,2017-07,0.6976,Landsat 8
VIPIS,2017-07,0.0299,Landsat 8
Isla Boquerón,2017-10,0.2721,Landsat 8
Punta Cerro,2017-10,0.304,Landsat 8
Punta Chino,2017-10,0.3403,Landsat 8
Río Sevilla,2017-10,0.4462,Landsat 8
Caño Palos,2017-10,0.4901,Landsat 8
CP Pajarales,2017-10,0.6057,Landsat 8
Isla Boquerón,2017-12,0.2021,Landsat 8
Punta Cerro,2017-12,0.2165,Landsat 8
Punta Chino,2017-12,0.1837,Landsat 8
Río Sevilla,2017-12,0.3201,Landsat 8
Caño Palos,2017-12,0.6916,Landsat 8
CP Pajarales,2017-12,0.5591,Landsat 8
Caño Clarín,2017-12,0.6105,Landsat 8
VIPIS,2017-12,-0.0194,Landsat 8
